"Order Ref",Tracking,SKU,Total,Date
#109909,WR10124326,SK-S131087,4899,2023-09-12
#109945,WR10136574,FS-S125315,4499,2023-09-12
#109491,WR10120492,FS-S124517,3199,2023-09-08
#109937,WR10136534,SK-TP2307,2499,2023-09-12
#109916,WR10127137,FS-S123866,7099,2023-09-12
#109947,WR10136592,SK-S112413,1949,2023-09-12
#109905,WR10123656,MKP-S122299-45,2999,2023-09-12
#109906,WR10123676,FS-CK78,5999,2023-09-12
#109873,WR10120128,FS-S124474,2949,2023-09-12
#109256,WR9887961,MKP-JK121-L,4999,2023-09-06
#108882,WR9834726,FS-S124759,3499,2023-09-03
#108747,WR9798154,FS-HB592,2999,2023-09-02
#109595,WR9953760,FS-S125747,4999,2023-09-09
#109918,WR10127838,FS-KLS86,1899,2023-09-12
