"Order Ref",Tracking,SKU,Total,Date
#114688,792454257115364,MKP-C69987,1418,2023-11-09
#115072,792454257116183,FS-S135276,2261,2023-11-10
#114998,792454257116015,"FS-S135026,SK-S115486",3122,2023-11-09
#114660,792454257115323,MKP-S122298-44,2999,2023-11-08
#114947,792454257115917,"SK-S115268,SK-S120480,FS-S125173",3333,2023-11-09
#115055,792454257116155,FS-S126404,0,2023-11-10
#114960,792454257115950,SK-S115108,1361,2023-11-09
#114700,792454257115379,FS-S125662,1361,2023-11-09
#114743,792454257115447,FS-S124548,1361,2023-11-09
#114872,792454257115685,SK-S114504,1361,2023-11-09
#114715,792454257115401,FS-S126201,1361,2023-11-09
#114680,792454257115354,SK-S121235,1361,2023-11-09
#114736,792454257115434,FS-S125505,1361,2023-11-09
#114836,792454257115624,SK-S120640,1361,2023-11-09
#114834,792454257115622,FS-SL2814,1361,2023-11-09
#114839,792454257115627,FS-S126055,1361,2023-11-09
#114689,792454257115365,FS-S126064,1361,2023-11-09
#114772,792454257115505,SK-S121433,0,2023-11-09
#114970,792454257115970,WP-S134294,0,2023-11-09
