"Order Ref",Tracking,SKU,Total,Date
#108813,WR9805563,FS-S125215,2899,2023-09-02
#108744,WR9798111,MKP-WL16,1950,2023-09-02
#108998,WR9841456,FS-S124472,3399,2023-09-04
#109007,WR9841901,FS-S124262,2899,2023-09-04
#108953,WR9838136,FS-S127786,2499,2023-09-04
#109069,WR9859209,WP-S117337,14716,2023-09-04
#108709,WR9797399,FS-S125177,3999,2023-09-01
#108848,WR9833155,"FS-S127799,FS-S125290",7598,2023-09-02
#109006,WR9841893,FS-S127280,1999,2023-09-04
#108987,WR9840953,"SK-S122130,FS-S124439",7298,2023-09-04
#108844,WR9832905,SK-S130719,5599,2023-09-02
#108917,WR9836840,FS-S125054,3549,2023-09-03
#108977,WR9840018,FS-S127807,2049,2023-09-04
#108851,WR9833236,SK-S130295,5109,2023-09-02
#108915,WR9836820,SK-S130721,4599,2023-09-03
#108707,WR9797384,FS-S127800,2999,2023-09-01
