"Order Ref",Tracking,SKU,Total,Date
#112847,792454257113177,SK-SN14866,2009,2023-10-17
#112887,792454257113220,SK-S131007,3979,2023-10-17
#112693,792454257112996,SK-S132469,4989,2023-10-15
#112622,792454257112919,SK-S130899,3689,2023-10-14
#112778,792454257113096,FS-S135246,3649,2023-10-16
#112867,792454257113199,WP-S31010,3590,2023-10-17
#112673,792454257112974,FS-SL2926,2649,2023-10-15
#112731,792454257113044,WP-S134010,10989,2023-10-16
#112716,792454257113021,"FS-S124562,FS-S134885",5448,2023-10-15
#112676,792454257112977,SK-S130121,9789,2023-10-15
#112674,792454257112975,WP-S133528,4589,2023-10-15
#112679,792454257112980,WP-S120132,4619,2023-10-15
#112707,792454257113012,SK-S132847,3499,2023-10-15
#112788,792454257113108,SK-S131876,3589,2023-10-16
#112796,792454257113116,SK-S104358,1999,2023-10-16
#112586,792454257112881,MKP-WL13,1550,2023-10-14
#112784,792454257113102,"SK-S131062,FS-S134890",6938,2023-10-16
#112647,792454257112946,SK-S132822,3689,2023-10-15
