"Order Ref",Tracking,SKU,Total,Date
#111195,792454257111080,FS-S125728,2250,2023-09-27
#111056,792454257110869,FS-HB534,2250,2023-09-26
#110833,792454257110588,SB-S-S130505-41,2250,2023-09-24
#110762,792454257110493,SB-S-S130506-43,2250,2023-09-24
#111044,792454257110856,FS-CK59,2250,2023-09-26
#111179,792454257111048,FS-S127237,2250,2023-09-27
#111093,792454257110907,FS-S125718,2250,2023-09-27
#111131,792454257110948,SK-S132751,2250,2023-09-27
#111078,792454257110892,FS-S125219,2250,2023-09-26
#111173,792454257111042,FS-S125645,2250,2023-09-27
#111060,792454257110873,SK-S131371,2250,2023-09-26
#110834,792454257110589,FS-S125858,2250,2023-09-24
#111108,792454257110923,FS-S125594,2250,2023-09-27
#111181,792454257111052,SK-S133039,2250,2023-09-27
#111128,792454257110945,SK-S132599,2250,2023-09-27
#111027,792454257110826,"SK-H1858,SK-H1841,SK-H1773,SK-H1779,SK-H1761,SK-H1738,SK-H1707,SK-H1679,SK-H1598,SK-H1280,SK-H991,SK-H1690",2250,2023-09-26
#110995,792454257110782,"SK-H882,SK-H1376,SK-H1372,SK-H1797,SK-H1792,SK-H1760,SK-H789,SK-H1517,SK-H1539,SK-H1554,SK-H1722,SK-H1778",2250,2023-09-26
