"Order Ref",Tracking,SKU,Total,Date
#108483,792454257107520,SK-S130586,2549,2023-08-30
#108390,792454257107412,WP-S119978,6999,2023-08-29
#108581,792454257107645,SK-S130447,6899,2023-08-31
#108595,792454257107663,"FS-S124875,FS-S127327",5098,2023-08-31
#108436,792454257107467,WP-S118446,5749,2023-08-30
#108513,792454257107556,"FS-S124253,WP-S108823",7448,2023-08-30
#108597,792454257107666,"SK-KS3818,SK-KS3746,SK-KS4013",2507,2023-08-31
#108463,792454257107498,FS-S124681,2699,2023-08-30
#108499,792454257107539,FS-S124633,3999,2023-08-30
