"Order Ref",Tracking,SKU,Total,Date
#111646,20005260037060,SK-S121543,4249,2023-10-02
#111584,20005260037039,FS-S134998,3149,2023-10-01
#111571,20005260037030,FS-SL2793,3049,2023-10-01
#111651,20005260037062,SK-S133088,2749,2023-10-02
#111654,20005260037065,SK-S131830,3149,2023-10-02
#111674,20005260037076,FS-S124555,2745,2023-10-02
#111594,20005260037042,FS-S125372,2995,2023-10-01
#111621,20005260037050,FS-S124538,2995,2023-10-01
#111634,20005260037055,SK-S122422,4249,2023-10-02
#111661,20005260037070,SK-S131528,0,2023-10-02
#111648,20005260037061,SK-H1661,1249.5,2023-10-02
#111660,20005260037068,FS-S134996,0,2023-10-02
#111611,20005260037047,FS-S124259,2995,2023-10-01
#111616,20005260037048,FS-S125773,2995,2023-10-01
#111629,20005260037053,SK-S132460,6249,2023-10-01
#111559,20005260037024,"SK-KS3824,SK-KS3319",-388,2023-09-30
#111318,20005260036914,WP-S77399,12149.15,2023-09-28
#111484,20005260036988,FS-HB670,1955,2023-09-30
#111636,20005260037057,FS-S124855,2995,2023-10-02
#111586,20005260037040,SK-H1410,1004,2023-10-01
#111639,20005260037058,"SK-S131172,FS-S124983",0,2023-10-02
#111428,20005260036960,SF-SH2979,849,2023-09-29
#111598,20005260037044,SK-S131073,5349,2023-10-01
#110607,20005260036589,SK-S130683,5399,2023-09-22
#111416,20005260036954,FS-S135256,3199,2023-09-29
#111386,20005260036941,SK-S131159,2749,2023-09-29
#111548,20005260037018,SK-H770,1249.5,2023-09-30
#111608,20005260037046,"SK-KS3791,SK-TS3805",1248,2023-10-01
#111393,20005260036945,WP-S134217,9249,2023-09-29
#111561,20005260037025,FS-S127652,1552,2023-09-30
#111622,20005260037051,SK-H1768,1199.5,2023-10-01
#111287,20005260036898,FS-S135145,250,2023-09-28
#111549,20005260037019,SK-H696,1274.5,2023-09-30
#111555,20005260037022,FS-S127751,1552,2023-09-30
#111550,20005260037020,FS-S125321,2995,2023-09-30
#111422,20005260036958,"WP-JK165,FS-CK30",5434,2023-09-29
