"Order Ref",Tracking,SKU,Total,Date
#114465,772708178905,SB-S-S130520-43,3999,2023-11-06
#114494,772708178914,SB-S-S130511-45,4499,2023-11-06
#114432,772708178898,MKP-S136213,3700,2023-11-05
#114590,772708178954,FS-S127735,2049,2023-11-08
#114576,772708178948,FS-S134797,3599,2023-11-07
#114073,772708178875,MKP-H6-XL,1280,2023-10-31
#114580,772708178951,FS-S124261,2899,2023-11-07
#114602,772708178958,SK-S130586,2549,2023-11-08
#114618,772708178950,SA-S136194,0,2023-11-08
#114433,772708178899,SB-S-S130508-37,3499,2023-11-05
#114458,772708178925,WP-S33605,4499,2023-11-05
#114592,772708178955,SK-S132535,4499,2023-11-08
#114613,772708178960,WP-S104984,4099,2023-11-08
#114335,772708178857,FS-S125125,3499,2023-11-03
#114227,772708178877,SB-S-S130520-44,600,2023-11-02
#114589,772708178953,SK-S120681,3399,2023-11-08
#114579,772708178949,SK-S132132,4299,2023-11-07
#114575,772708178947,WP-S101049,4299,2023-11-07
#114594,772708178957,SK-S121505,4349,2023-11-08
#114336,772708178856,SK-S115285,3399,2023-11-03
