"Order Ref",Tracking,SKU,Total,Date
#113110,772708178470,FS-S135158,0,2023-10-20
#113136,772708178465,SK-S131910,3289,2023-10-20
#113126,772708178462,FS-S127770,2099,2023-10-20
#112938,772708178467,WP-S134211,0,2023-10-18
#113057,772708178444,FS-S125052,2849,2023-10-19
#113094,772708178454,FS-S125429,3599,2023-10-20
#113132,772708178463,FS-S125299,3699,2023-10-20
#113124,772708178461,FS-S123741,5289,2023-10-20
#113056,772708178443,WP-S134302,7889,2023-10-19
#113037,772708178469,SK-S133182,200,2023-10-19
#113086,772708178451,WP-S133979,7989,2023-10-19
#113078,772708178448,SK-S130987,3489,2023-10-19
#113073,772708178447,FS-S135143,2879,2023-10-19
#113112,772708178458,SK-KS2528,1249,2023-10-20
#113148,772708178472,SK-S132395,3999,2023-10-20
#113144,772708178466,FS-S124745,3599,2023-10-20
#113088,772708178452,SK-S99275,2339,2023-10-20
#113146,772708178471,FS-S125643,2849,2023-10-20
#113080,772708178449,WP-S72065,4659,2023-10-19
