"Order Ref",Tracking,SKU,Total,Date
#76048,20005260021099,SK-S88476,1168,2022-11-29
#76004,20005260021073,SK-S100056,1168,2022-11-29
#75997,20005260021070,SK-H28937,1168,2022-11-29
#75987,20005260021066,MKP-TS6-XL,1168,2022-11-29
#75943,20005260021035,SK-BG68738,1168,2022-11-29
#75934,20005260021038,SK-S96988,1168,2022-11-29
#75922,20005260021040,SK-S88217,1168,2022-11-29
#75918,20005260021042,WP-S83476,1168,2022-11-29
#75819,20005260021005,WP-S73268,1168,2022-11-28
#75787,20005260021014,SK-S92541,1168,2022-11-28
#75773,20005260020913,SK-S95633,1168,2022-11-28
#75767,20005260020914,WP-S72937,1168,2022-11-28
#75761,20005260020915,"WP-S98095,SK-S99875",1168,2022-11-28
#75744,20005260020925,SK-S88643,1168,2022-11-28
#75706,20005260021027,SK-S92225,1168,2022-11-27
#75696,20005260020934,"SK-S98508,WP-S75435",1168,2022-11-27
#75677,20005260020941,WP-S71946,1168,2022-11-27
#75662,20005260020951,SK-S100459,1168,2022-11-27
#75635,20005260020961,MKP-H188-XL,1168,2022-11-27
#75585,20005260020972,"GL-2-M,GL-3-M,SK-LC12",1168,2022-11-27
