"Order Ref",Tracking,SKU,Total,Date
#117036,772708179487,WP-S97973,5499,2023-11-22
#117041,772708179490,SK-H5072,2599,2023-11-22
#117051,772708179491,SK-KS4138,1849,2023-11-22
#117035,772708179486,SK-S132508,3999,2023-11-22
#117014,772708179481,FS-S126471,2849,2023-11-22
#117032,772708179484,FS-S123885,300,2023-11-22
#117037,772708179488,SK-S131972,4259,2023-11-22
#117034,772708179485,FS-S126424,3499,2023-11-22
#117052,772708179492,SK-H3456,2999,2023-11-22
#117011,772708179480,FS-S123477,7199,2023-11-22
#117057,772708179493,WP-S30126,3572,2023-11-23
#117061,772708179494,FS-S125630,3499,2023-11-23
#116990,772708179483,SK-S132235,4499,2023-11-21
#117039,772708179489,SK-S132611,3999,2023-11-22
