"Order Ref",Tracking,SKU,Total,Date
#98906,20005260030608,MKP-TK62-S,1849,2023-04-15
#98711,20005260030516,MKP-TK62-S,1849,2023-04-12
#98600,20005260030484,MKP-TK62-S,1849,2023-04-11
#98493,20005260030425,"MKP-TR66-L,MKP-TR2-L,MKP-TR61-L",5197,2023-04-10
#98102,20005260030224,MKP-MKP-SHO64-22,2049,2023-04-07
#98064,20005260030204,MKP-TK62-S,1849,2023-04-07
#97923,20005260030108,MKP-TR66-S,1999,2023-04-05
#96969,20005260029365,"No Data,MKP-TS44-M,SK-TS17013",2447,2023-03-29
#76176,20005260021132,"SK-SN11319,SK-TS4665,SK-TS2126",1168,2022-11-30
#76175,20005260021131,SK-S97074,1168,2022-11-30
