"Order Ref",Tracking,SKU,Total,Date
#100165,KI761705441,SK-S110746,708,2023-05-06
#100088,KI761702171,SK-S116338,2249,2023-05-05
#100070,KI761698638,SK-S105773,2449,2023-05-05
#100144,KI761704153,SK-FS276,1248,2023-05-06
#100019,KI761692523,WP-S108832,2249,2023-05-05
#100143,KI761704127,SK-S109935,1010,2023-05-06
#100156,KI761704587,SK-S101651,2449,2023-05-06
#100163,KI761705136,SK-S108933,3261,2023-05-06
#100167,KI761705466,SK-S117959,3399,2023-05-06
#100167,KI761705466,SK-S117959,3399,2023-05-06
#99920,KI761680735,WP-S77249,13999,2023-05-03
#100100,KI761702260,SK-S116545,3149,2023-05-05
#99888,KI761699161,SK-S116521,900,2023-05-03
#100103,KI761702362,SK-S67586,1194,2023-05-05
#100096,KI761702236,SK-SN15510,1449,2023-05-05
#100078,KI761698814,SK-S112624,1288,2023-05-05
#99945,KI761699103,SK-H1007,250,2023-05-04
#100106,KI761702992,SK-KS1676,1649,2023-05-05
#99736,KI761651502,SB-TR04-M,949,2023-05-01
#99845,KI761666761,SD-WL8,1250,2023-05-02
#100111,KI761703082,SK-S118034,3799,2023-05-06
#100099,KI761702255,SK-S114996,1509,2023-05-05
#100099,KI761702255,SK-S114996,1509,2023-05-05
#100109,KI761703051,SK-S107951,1648,2023-05-05
#100109,KI761703051,SK-S107951,1648,2023-05-05
#100097,KI761702239,SK-S116562,2949,2023-05-05
#100110,KI761703068,SK-KS3432,949,2023-05-05
#100131,KI761703773,SK-S115403,2899,2023-05-06
#100149,KI761707344,"SK-S65091,SK-S110829,SK-KS4092,SK-KS1076,SK-S116967,SK-S101816,SK-S107077",9351,2023-05-06
#100149,KI761707344,"SK-S65091,SK-S110829,SK-KS4092,SK-KS1076,SK-S116967,SK-S101816,SK-S107077",9351,2023-05-06
#100115,KI761703153,SK-S117864,3749,2023-05-06
#100107,KI761703019,SK-S111963,1288,2023-05-05
#100125,KI761703655,SK-S110278,2374,2023-05-06
#100124,KI761703629,"SK-S118075,SK-S118084",7748,2023-05-06
#100104,KI761702364,SK-S112771,3374,2023-05-05
#100104,KI761702364,SK-S112771,3374,2023-05-05
#100095,KI761702224,SK-S116974,2599,2023-05-05
