"Order Ref",Tracking,SKU,Total,Date
#112346,20005260037442,SK-S132962,6489,2023-10-11
#112353,20005260037445,SK-S132798,2599,2023-10-11
#112309,20005260037427,FS-S124000,5539,2023-10-10
#112324,20005260037434,FS-SN16700,2049,2023-10-11
#112134,20005260037334,"MKP-C69956,MKP-C69952",2248,2023-10-07
#112284,20005260037412,WP-S120216,5989,2023-10-10
#112321,20005260037433,WP-S72839,3039,2023-10-11
#112306,20005260037426,SK-S131366,3839,2023-10-10
#112312,20005260037429,SK-S131555,3989,2023-10-10
#112325,20005260037435,FS-SN17180,2049,2023-10-11
#112351,20005260037443,"SK-H306,FS-S135713,SK-H848,SK-C69664,SK-H868",5635,2023-10-11
#110164,20005260036335,FS-S125852,2899,2023-09-15
#112327,20005260037436,FS-S123440,5539,2023-10-11
#112345,20005260037441,SK-S132780,3589,2023-10-11
#112333,20005260037437,FS-S125437,1500,2023-10-11
#112304,20005260037424,WP-S118648,4889,2023-10-10
#112302,20005260037423,FS-S124297,2999,2023-10-10
#112352,20005260037444,FS-S125961,3899,2023-10-11
#112311,20005260037428,FS-S135264,2899,2023-10-10
