"Order Ref",Tracking,SKU,Total,Date
#99907,KI761675269,"SB-TS50-L,SB-TS162-L",2048,2023-05-03
#100349,KI761731391,SK-S118174,3799,2023-05-08
#100324,KI761726418,SK-S104022,1288,2023-05-08
#100381,KI761732623,SK-SL1017,1949,2023-05-09
#100059,KI761727349,"SK-S116280,SK-S117877",1949,2023-05-05
#100325,KI761726591,SK-S118161,3000,2023-05-08
#100350,KI761731404,SK-KS3657,1049,2023-05-08
#100350,KI761731404,SK-KS3657,1049,2023-05-08
#100352,KI761731427,SK-S116876,4399,2023-05-09
#99882,KI761665851,SB-TR04-S,949,2023-05-03
#100179,KI761709242,G-PB12,3599,2023-05-06
#100179,KI761709242,G-PB12,3599,2023-05-06
#100335,KI761731035,SK-S116193,5299,2023-05-08
#100343,KI761731259,SK-S118149,4299,2023-05-08
#100343,KI761731259,SK-S118149,4299,2023-05-08
#100351,KI761731412,SK-KS3719,1149,2023-05-08
#100342,KI761731206,"SK-S114824,SK-S118166",4798,2023-05-08
#100338,KI761731108,SK-S115330,0,2023-05-08
#100320,KI761725236,SK-S118188,2349,2023-05-08
#100209,KI761717986,SG-WL7,1450,2023-05-07
#100387,KI761733591,SK-S116437,3199,2023-05-09
#100397,KI761737206,SK-18420,3673,2023-05-09
#100101,KI761702335,G-PB12,3599,2023-05-05
#100207,KI761717971,G-EB06,3999,2023-05-07
#100207,KI761717971,G-EB06,3999,2023-05-07
#100176,KI761709206,SG-WL3,2100,2023-05-06
#100176,KI761709206,SG-WL3,2100,2023-05-06
#100390,KI761734099,SK-S65222,3419,2023-05-09
#100207,KI761717971,G-EB06,3999,2023-05-07
#100393,KI761734670,SK-S117879,3899,2023-05-09
