"Order Ref",Tracking,SKU,Total,Date
#108497,20005260035450,"SK-BG69062,FS-HB428",4088,2023-08-30
#108407,20005260035423,SK-S130592,2699,2023-08-29
#108517,20005260035469,"SK-S121314,FS-S123572",10948,2023-08-30
#108364,20005260035382,FS-S124438,3299,2023-08-29
#108311,20005260035360,FS-S124656,3349,2023-08-29
#108307,20005260035356,FS-S124672,3599,2023-08-29
#107809,20005260035456,SK-S130198,3052,2023-08-24
#108444,20005260035433,SK-S121274,2249,2023-08-30
#108355,20005260035380,"MKP-C70003,MKP-C70022,MKP-C70007",3397,2023-08-29
#108405,20005260035422,SK-SN15723,1709,2023-08-29
#108281,20005260035347,FS-S124614,5399,2023-08-28
#108430,20005260035427,FS-S124292,3349,2023-08-29
#108329,20005260035370,SK-S130553,3199,2023-08-29
#108493,20005260035448,FS-S127375,2499,2023-08-30
#108287,20005260035349,FS-S124613,3599,2023-08-28
#108331,20005260035372,FS-S124624,3699,2023-08-29
#108401,20005260035420,FS-S124698,2889,2023-08-29
#108310,20005260035359,FS-S124645,4999,2023-08-29
#108268,20005260035345,"FS-S124627,FS-S124609,FS-S124622",9997,2023-08-28
#108494,20005260035449,FS-S124303,3349,2023-08-30
#108474,20005260035441,SK-S130607,2499,2023-08-30
#108455,20005260035436,FS-S124285,3199,2023-08-30
#108045,20005260035460,"SK-S96694,FS-S127510",1198,2023-08-26
#108509,20005260035463,FS-HB497,2449,2023-08-30
#108033,20005260035458,SK-S118324,1100,2023-08-26
#108432,20005260035428,FS-S123550,7149,2023-08-29
#108458,20005260035439,SK-S130361,8999,2023-08-30
