"Order Ref",Tracking,SKU,Total,Date
#120212,WR12393006,FS-S126254,2999,2023-12-28
#120250,WR12402154,FS-S126429,2400,2023-12-29
#120223,WR12401190,SK-H1988,2699,2023-12-28
#120210,WR12392980,WP-S136925,2749,2023-12-28
#120209,WR12392758,SK-S133431,2150,2023-12-28
#120211,WR12392999,FS-S125941,3399,2023-12-28
#120131,WR12383194,WP-S94087,12999,2023-12-27
#120066,WR12355905,SK-FS87909,749,2023-12-26
#120356,WR12419230,WP-S136874,5999,2023-12-30
#120339,WR12416505,WP-S136783,11899,2023-12-30
#120227,WR12401282,"SK-H4411,SK-H5890,SK-H5662",2137,2023-12-28
#120346,WR12418679,WP-S134173,8899,2023-12-30
#120335,WR12416445,WP-S118643,5299,2023-12-30
