"Order Ref",Tracking,SKU,Total,Date
#100453,KI761750026,SK-S116883,2249,2023-05-10
#100428,KI761748951,SK-S108636,3999,2023-05-10
#100391,KI761734170,"SK-S113091,WP-S76363",8098,2023-05-09
#100418,KI761748756,SK-S117956,3499,2023-05-09
#100372,KI761732210,WP-S104104,4899,2023-05-09
#100411,KI761748170,SK-KS3991,1129,2023-05-09
#100415,KI761748376,SK-S114676,2449,2023-05-09
#100448,KI761749825,SK-S116174,2999,2023-05-10
#100345,KI761731315,WP-S100974,2499,2023-05-08
#100442,KI761749379,"SK-TP1524,SK-TP1040",936,2023-05-10
#100313,KI761721537,G-EB34,3999,2023-05-08
#100429,KI761748991,SK-S118035,0,2023-05-10
#100441,KI761749364,SK-S118175,3499,2023-05-10
