"Order Ref",Tracking,SKU,Total,Date
#102835,WR8106049,SK-S120603,3299,2023-06-19
#102741,WR8091290,SK-FS226,1348,2023-06-17
#102200,WR8058740,WP-S118609,150,2023-06-09
#102788,WR8097744,SK-S97147,2374,2023-06-18
#102709,WR8062705,SK-S117070,2249,2023-06-17
#102834,WR8106017,"SK-S117126,SK-S116998",6798,2023-06-19
#102758,WR8093842,"SK-S73999,SK-S74501,SK-S78087",2642,2023-06-18
#102783,WR8097264,"SK-SN13928,SK-SN15162,SK-SN14113",1947,2023-06-18
#102832,WR8103383,SK-S118364,4399,2023-06-19
#102755,WR8093646,SK-S115318,2899,2023-06-18
#102722,WR8065749,SK-KS4062,1019,2023-06-17
#102777,WR8096682,"SK-S120677,SK-S120798",9858,2023-06-18
#102790,WR8097983,SK-S111587,1471,2023-06-18
#102656,WR8056384,WP-S118875,6399,2023-06-16
#102714,WR8063187,"SK-S120715,SK-S120476,SK-S120834,WP-S118766,SK-S118956",26205,2023-06-17
