"Order Ref",Tracking,SKU,Total,Date
#111204,792454257111091,WP-S71867,3779.05,2023-09-27
#111291,792454257111194,SK-S131314,3599,2023-09-28
#110927,792454257110702,MKP-C69979,899,2023-09-25
#111286,792454257111189,FS-S125559,2745,2023-09-28
#111201,792454257111088,FS-S127676,1552,2023-09-27
#111251,792454257111145,FS-SN17091,1180,2023-09-28
#111087,792454257110901,FS-S125986,3999,2023-09-26
#111174,792454257111043,SK-S131836,2399,2023-09-27
#110352,792454257109726,SK-S132111,2549,2023-09-18
#110958,792454257110738,MKP-C70050,1099,2023-09-25
