"Order Ref",Tracking,SKU,Total,Date
#116729,772708179404,SK-H2258,761,2023-11-18
#116734,772708179406,FS-S135335,2889,2023-11-18
#116645,772708179371,SK-S122695,3999,2023-11-17
#116654,772708179375,FS-S125126,1361,2023-11-18
#116620,772708179365,SK-S115253,1361,2023-11-17
#116687,772708179388,"SK-TP1317,SK-TP1460,SK-BT2141,SK-BT2148,SK-BT2156,SK-BT2185,SK-BT2183,SK-BT2170,SK-TP1707,SK-TS4955,SK-TP1298,SK-B56741,SK-BT1994,SK-BT1978,SK-B56700,SK-TP1644,SK-TP1879,SK-TP1836,SK-TP1212,SK-TP1190,SK-TP1246,SK-TS4492,SK-TS4915",2553,2023-11-18
#116742,772708179410,SK-H3509,761,2023-11-18
#116673,772708179381,"SK-S115444,SK-S118199",2472,2023-11-18
#116646,772708179372,FS-SL2675,1361,2023-11-17
#116725,772708179403,"SK-H836,SK-H3717",1272,2023-11-18
#116647,772708179373,"SK-H1258,SK-H2278",1272,2023-11-17
#116656,772708179376,FS-S135717,2049,2023-11-18
#116732,772708179407,FS-S134944,2261,2023-11-18
#116744,772708179412,SK-FS85627,1361,2023-11-18
#116659,772708179377,SK-H2381,761,2023-11-18
#116650,772708179374,SK-S121755,1361,2023-11-17
#116281,772708179362,FS-S127600,0,2023-11-15
#116739,772708179409,SK-S118365,1361,2023-11-18
#116674,772708179382,"SK-S122700,SK-S122627",2472,2023-11-18
#116733,772708179408,FS-S127349,1361,2023-11-18
#116808,772708179431,SK-S121790,0,2023-11-19
#115838,772708179400,SK-S121878,1361,2023-11-13
#116826,772708179434,"FS-SN17121,FS-SN17093,FS-SN16421,FS-SN16557",3244,2023-11-19
#116743,772708179411,"SK-H1814,SK-TP1355,SK-H58968",1383,2023-11-18
#116731,772708179405,SK-KS3813,1049,2023-11-18
#116660,772708179378,SK-S121959,1361,2023-11-18
#116812,772708179432,SK-S121995,1361,2023-11-19
#114056,772708179402,FS-S126108,1950,2023-10-31
#116825,772708179433,FS-S125932,1361,2023-11-19
