"Order Ref",Tracking,SKU,Total,Date
#108803,792454257107910,FS-S124864,350,2023-09-02
#108782,792454257107888,FS-S127774,2649,2023-09-02
#109113,792454257108273,WP-S120038,2650,2023-09-05
#109142,792454257108305,FS-HB358,2249,2023-09-05
#109199,792454257108365,SK-S130388,11999,2023-09-06
#109156,792454257108320,FS-S127187,2099,2023-09-05
#109057,792454257108212,FS-S127611,2599,2023-09-04
#109168,792454257108332,SK-S121834,3999,2023-09-05
#109193,792454257108359,FS-HB519,2049,2023-09-06
#109269,792454257108447,FS-S124330,3249,2023-09-06
#109017,792454257108161,"MKP-TS22-S,MKP-TS27-S",51,2023-09-04
