"Order Ref",Tracking,SKU,Total,Date
#113270,772708178524,FS-S135735,2049,2023-10-21
#113317,772708178540,SK-S130529,2449,2023-10-22
#113252,772708178518,FS-S126074,2889,2023-10-21
#113260,772708178522,SK-H902,1234,2023-10-21
#113028,772708178436,MKP-S122297-41,2999,2023-10-19
#113286,772708178529,FS-S126048,2849,2023-10-22
#113322,772708178541,FS-S125569,3649,2023-10-22
#113065,772708178445,SB-S-S130512-44,3999,2023-10-19
#113357,772708178549,SK-S114757,3199,2023-10-22
#113222,772708178500,FS-S126067,2889,2023-10-21
#113363,772708178550,FS-S126086,3899,2023-10-23
#113315,772708178539,SK-S131076,4439,2023-10-22
#113257,772708178520,FS-S126052,3289,2023-10-21
#113306,772708178534,SK-S130535,2449,2023-10-22
#113365,772708178551,FS-S125588,3989,2023-10-23
#113376,772708178552,SK-S130644,3489,2023-10-23
#113247,772708178515,FS-S126080,2889,2023-10-21
#113275,772708178526,FS-S126089,2899,2023-10-21
#113308,772708178535,SK-FS88,1249,2023-10-22
#112834,772708178373,MKP-WL16,1750,2023-10-17
#113349,772708178548,FS-CK41,2099,2023-10-22
