"Order Ref",Tracking,SKU,Total,Date
#111010,20005260036795,"FS-S125993,FS-S125981",1000,2023-09-26
#109641,20005260036869,SK-S131088,3999,2023-09-09
#111218,20005260036877,FS-S127593,1552,2023-09-27
#111269,20005260036889,FS-S124937,2745,2023-09-28
#111096,20005260036817,SK-H386,299.5,2023-09-27
#111237,20005260036881,SK-S131223,5299,2023-09-28
#111101,20005260036819,FS-SN16529,930,2023-09-27
#111189,20005260036863,FS-S127444,1302,2023-09-27
#111275,20005260036893,"SK-SN8367,FS-SN16777",2627,2023-09-28
#111274,20005260036891,"FS-HB620,FS-HB669,FS-HB511",5115,2023-09-28
#111260,20005260036885,FS-S125771,2745,2023-09-28
#110972,20005260036774,FS-SN16467,930,2023-09-25
#110962,20005260036769,SK-S132959,4399,2023-09-25
#111011,20005260036796,FS-S125982,1000,2023-09-26
#111280,20005260036896,FS-S125907,2745,2023-09-28
#110694,20005260036630,SK-S132921,2349,2023-09-23
#111250,20005260036883,SK-S132384,2749,2023-09-28
#110993,20005260036909,SK-H1781,1199,2023-09-26
#111297,20005260036901,"SK-H1037,SK-H1400,FS-HB504",2592,2023-09-28
#109978,20005260036847,SK-BG69574,0.09999999999990905,2023-09-13
#111100,20005260036818,SK-H619,283,2023-09-27
#111266,20005260036887,SK-S132529,2749,2023-09-28
#111307,20005260036911,SK-H1699,1299,2023-09-28
#111032,20005260036799,FS-S125977,4499,2023-09-26
#111065,20005260036812,SK-BG69761,499,2023-09-26
#111186,20005260036861,"SK-KS3803,FS-SN17044,FS-SN16878,SK-S132038,SK-S120929,FS-SN16520,FS-SN16480",8617,2023-09-27
#111273,20005260036892,FS-S124334,2745,2023-09-28
#110810,20005260036693,MKP-C70020,899,2023-09-24
#111309,20005260036912,"SK-C69892,FS-S125708",3244,2023-09-28
#111185,20005260036860,WP-S31067,3590.1,2023-09-27
#111150,20005260036842,WP-TS2169,1999,2023-09-27
#111116,20005260036830,MKP-S122297-43,2999,2023-09-27
#111192,20005260036865,"FS-S127224,FS-S127479,FS-S127536,FS-S127655",5208,2023-09-27
#111277,20005260036894,FS-S125503,2745,2023-09-28
#111258,20005260036884,FS-S124805,2745,2023-09-28
#111261,20005260036886,FS-S125041,2745,2023-09-28
#110895,20005260036906,FS-S124727,1746,2023-09-25
#111176,20005260036854,FS-S135049,2849,2023-09-27
#111289,20005260036899,FS-S134902,500,2023-09-28
#111303,20005260036905,FS-SN16813,1180,2023-09-28
#109637,20005260036868,SK-S131090,3999,2023-09-09
#111290,20005260036900,FS-S134995,500,2023-09-28
