"Order Ref",Tracking,SKU,Total,Date
#113176,WR11011676,SK-S133151,4989,2023-10-20
#113646,WR11099538,FS-S125069,2849,2023-10-25
#113637,WR11099216,"SK-S115650,FS-S124894",3838,2023-10-25
#113692,WR11103078,"FS-S126134,FS-S124824",1825,2023-10-26
#113680,WR11101799,FS-S127199,1999,2023-10-26
#113660,WR11099949,SK-S122717,3999,2023-10-26
#113675,WR11101670,FS-S126128,3749,2023-10-26
#113605,WR11086135,WP-S134057,7139,2023-10-25
#113693,WR11103111,FS-S126107,2849,2023-10-26
#113700,WR11103206,FS-S126122,2899,2023-10-26
