"Order Ref",Tracking,SKU,Total,Date
#100990,KI761791640,SK-S115431,1389,2023-05-15
#100907,KI761789125,SK-S116198,2849,2023-05-14
#100762,KI761775424,SK-S118222,4000,2023-05-13
#101037,KI761794033,SK-TS4447,569,2023-05-15
#101028,KI761793964,SK-S116944,2339,2023-05-15
#100946,KI761793014,SK-S118154,2717,2023-05-14
#101039,KI761794081,SK-S118270,4499,2023-05-15
#100913,KI761789779,"SK-S117812,SK-S108619,SK-S116745",7955,2023-05-14
#100985,KI761791695,"SK-TP1305,SK-TP1632,SK-TP727",1677,2023-05-15
#100901,KI761789018,SK-S116462,2519,2023-05-14
#100829,KI761778731,WP-S11669,4220,2023-05-13
#100953,KI761792969,SK-S108519,1249,2023-05-14
#100895,KI761788751,SK-S117902,2717,2023-05-14
#100853,KI761785547,SK-S115174,2579,2023-05-13
#100588,KI761766370,SG-WL24,2100,2023-05-12
#100903,KI761789055,SK-S105958,2519,2023-05-14
#101020,KI761791195,SK-S116773,2229,2023-05-15
#101040,KI761794118,SK-S116242,2259,2023-05-15
#100590,KI761766423,SK-JK-S118993,4149,2023-05-12
#100758,KI761775341,YL-SW16,8099,2023-05-13
#100927,KI761790445,SK-KS3357,1369,2023-05-14
#100861,KI761786800,SK-S117817,0,2023-05-13
#101003,KI761791303,SK-S116801,1332,2023-05-15
#100926,KI761790276,SK-S99497,2661,2023-05-14
#100869,KI761787539,SK-S116632,1989,2023-05-13
#100870,KI761787686,SK-S114958,1731,2023-05-13
#100873,KI761787874,SK-S116724,2589,2023-05-13
#100884,KI761788402,SK-S102780,2679,2023-05-14
#100963,KI761792092,SK-S117011,2439,2023-05-14
#100753,KI761775303,"WP-S98114,WP-S118405,SK-S116800",21517,2023-05-13
#100852,KI761785542,SK-S118230,3999,2023-05-13
#100845,KI761785477,SK-S102560,2999,2023-05-13
#100885,KI761788409,SK-SN15866,861,2023-05-14
#100444,KI761749451,YL-SW6,7999,2023-05-10
#101031,KI761793989,SK-S116522,2717,2023-05-15
#100526,KI761759470,SK-S117015,3449,2023-05-11
#100930,KI761793150,SK-S109924,1259,2023-05-14
#100863,KI761787145,SK-S114377,1689,2023-05-13
#100849,KI761785506,SK-S116930,2259,2023-05-13
#100881,KI761788328,SK-S61828,872,2023-05-14
#100972,KI761791994,SK-S118162,2499,2023-05-14
#100855,KI761785579,"SK-C69927,SK-C69867",1584,2023-05-13
#100843,KI761779744,SK-S116735,1989,2023-05-13
#100813,KI761776220,"WP-S115954,SB-TS60-L",6848,2023-05-13
#100880,KI761788235,SK-S115110,2199,2023-05-14
