"Order Ref",Tracking,SKU,Total,Date
#99757,KI761658770,SK-S116320,3549,2023-05-01
#99735,KI761651485,SK-S108858,1236,2023-05-01
#99653,KI761648324,SK-S112157,1748,2023-04-29
#99715,KI761650362,SK-S117829,4899,2023-04-30
#99727,KI761650911,SK-KS3753,749,2023-05-01
#99693,KI761649756,SK-S109813,1471,2023-04-30
#99701,KI761649877,WP-S115981,4599,2023-04-30
#99654,KI761648325,SK-KS1381,1329,2023-04-29
#99511,KI761608866,SB-TS147-L,381,2023-04-27
#99732,KI761651327,SK-S116421,3249,2023-05-01
#99778,KI761659630,"SK-S108040,SK-S108324",2446,2023-05-02
#99501,KI761607412,SG-WL7,1450,2023-04-27
#99731,KI761651292,SK-S111401,2041,2023-05-01
#99737,KI761651563,WP-S97922,5499,2023-05-01
#99684,KI761649587,WP-S115916,6249,2023-04-30
#99718,KI761650441,SK-S116267,2899,2023-05-01
#99663,KI761648435,WP-S10921,3568,2023-04-29
#99691,KI761649734,SK-S116318,2249,2023-04-30
#99741,KI761652038,"SK-FS379,SK-FS305",2246,2023-05-01
#99694,KI761649773,"SK-S105491,SK-S105347",2877,2023-04-30
#99666,KI761648844,SK-KS3776,849,2023-04-30
#99665,KI761648823,SK-S117868,4999,2023-04-30
#99771,KI761659504,SK-S117937,3899,2023-05-01
#99772,KI761659513,"SK-S116694,SK-S116878",6298,2023-05-01
#99722,KI761650683,SK-S116719,4789,2023-05-01
#99413,KI760980793,SG-WL7,1450,2023-04-25
#99721,KI761650657,SK-SN14799,749,2023-05-01
#99689,KI761649697,SK-S108036,1648,2023-04-30
#99667,KI761648876,SK-S113223,2329,2023-04-30
#99460,KI761600883,SG-WL5,2100,2023-04-26
#99678,KI761649073,GT-SW24,7499,2023-04-30
#99690,KI761649722,SK-S117900,4899,2023-04-30
