"Order Ref",Tracking,SKU,Total,Date
#111529,792454257111583,"WP-TS19815,SF-SH2985,SF-SH2998,WP-SH2189",4511,2023-09-30
#111507,792454257111458,WP-S72922,4974.06,2023-09-30
#111438,792454257111374,"WP-S109370,WP-S72051,SK-S131236,SK-S131307,SK-S131089",22797,2023-09-29
#111591,792454257111665,SK-S130493,0,2023-10-01
#111640,792454257111722,"SK-TI280,SK-TI32,SK-TI69,SK-TI150,SK-TI1",2796,2023-10-02
#111587,792454257111660,"SK-H1434,SK-H788",2098,2023-10-01
#111595,792454257111669,FS-S125506,2995,2023-10-01
#111626,792454257111706,SK-S132807,2549,2023-10-01
#111605,792454257111681,"SK-H1890,SK-H1557",3273,2023-10-01
