"Order Ref",Tracking,SKU,Total,Date
#109399,792454257108592,"FS-S124928,FS-S125623,FS-S125812,FS-S125779,FS-S127860,SK-S115240",13540,2023-09-07
#109767,792454257109012,FS-S125523,2899,2023-09-11
#109666,792454257108898,FS-S127859,2049,2023-09-09
#109439,792454257108643,FS-S125790,0,2023-09-07
#109734,792454257108973,FS-SL2862,7499,2023-09-10
#109750,792454257108989,FS-S124834,2671,2023-09-10
#109601,792454257108818,WP-S7510,0,2023-09-09
#109670,792454257108902,"SK-SC64571,FS-SL2942,FS-S125332",7097,2023-09-10
#109754,792454257108993,FS-S125515,3549,2023-09-10
#109730,792454257108969,SK-S130901,4599,2023-09-10
#109639,792454257108870,FS-S127734,2549,2023-09-09
#109658,792454257108890,SK-S121349,3999,2023-09-09
#109650,792454257108882,FS-S125875,2849,2023-09-09
