"Order Ref",Tracking,SKU,Total,Date
#100584,79245425796861,"SK-S116504,SK-BG69504",0,2023-05-12
#100483,79245425796737,"WP-21473,WP-S104238,SK-S116211,SK-S116859",20545,2023-05-10
#100583,79245425796859,"SK-S116641,SK-TS16933",0,2023-05-12
#100593,79245425796872,SK-S112279,1249,2023-05-12
#100538,79245425796805,SK-S108088,1599,2023-05-11
#100500,79245425796762,WP-S79029,13999,2023-05-11
#100604,79245425796885,SK-S116728,1929,2023-05-12
#100580,79245425796854,"SK-TS2005,SK-TS2773,SK-TS698",1147,2023-05-12
