"Order Ref",Tracking,SKU,Total,Date
#115074,772708179070,SK-S121377,1361,2023-11-10
#114963,772708179043,FS-S135349,2261,2023-11-09
#115115,772708179082,SK-S115035,1361,2023-11-10
#115131,772708179085,FS-S124501,1361,2023-11-10
#115020,772708179063,SK-S120945,1361,2023-11-09
#115095,772708179074,SK-S120651,1361,2023-11-10
#115130,772708179084,SK-S115207,1361,2023-11-10
#114679,772708178989,FS-S127814,0,2023-11-09
#114754,772708179005,FS-S124255,1361,2023-11-09
#114675,772708178987,FS-S126085,1361,2023-11-09
#115017,772708179062,FS-S124474,1361,2023-11-09
#115075,772708179071,FS-S127547,1361,2023-11-10
#115053,772708179067,SK-S119385,1361,2023-11-10
#114818,772708179019,"SK-S115134,SK-S114496,SK-S115435",3333,2023-11-09
#114681,772708178990,FS-S126169,1361,2023-11-09
#114685,772708178992,SK-S118293,1361,2023-11-09
#114764,772708179010,FS-S125014,1361,2023-11-09
#115047,772708179066,SK-BT1936,361,2023-11-10
#114753,772708179004,SK-S121437,1361,2023-11-09
#114684,772708178991,SK-S114467,1361,2023-11-09
#114641,772708178976,SK-S131893,5599,2023-11-08
#114686,772708178993,FS-S134816,2261,2023-11-09
#115041,772708179065,SK-S120686,1361,2023-11-10
#114745,772708179000,FS-S134864,2261,2023-11-09
#115129,772708179083,SK-S121108,1361,2023-11-10
#114746,772708179001,FS-S135616,1361,2023-11-09
#114653,772708178980,SK-S105438,1999,2023-11-08
#114642,772708178977,FS-S127662,1999,2023-11-08
