"Order Ref",Tracking,SKU,Total,Date
#108373,20005260035402,FS-S127269,842,2023-08-29
#108137,20005260035287,"WP-S109449,WP-S71984,FS-S124275",12122,2023-08-27
#108288,20005260035350,FS-S124374,3299,2023-08-28
#105886,20005260035394,"SK-S123256,SK-S112332",2894,2023-08-12
#105740,20005260035399,SK-S123056,1197,2023-08-11
#108322,20005260035365,SK-H984,849,2023-08-29
#108264,20005260035344,WP-S21029,505,2023-08-28
#108367,20005260035387,WP-S94000,4999,2023-08-29
#108158,20005260035293,FS-S124247,3399,2023-08-27
#108299,20005260035354,SK-S96099,1257,2023-08-28
#108046,20005260035244,WP-S108853,4549,2023-08-26
#108216,20005260035324,WP-S116079,5399,2023-08-28
#108296,20005260035353,FS-S123871,7049,2023-08-28
#108318,20005260035362,SK-S130491,8999,2023-08-29
#108150,20005260035384,SK-S130310,0,2023-08-27
#108333,20005260035373,WP-S71482,7086,2023-08-29
#108341,20005260035376,SK-KS3702,1249,2023-08-29
#108286,20005260035348,FS-S124250,3449,2023-08-28
#108305,20005260035355,SK-S130522,2999,2023-08-28
#108347,20005260035378,FS-S123365,6999,2023-08-29
#108321,20005260035364,SK-H746,2149,2023-08-29
#106419,20005260035398,SK-S123348,2197,2023-08-13
#108294,20005260035352,FS-S123789,6609,2023-08-28
#108199,20005260035313,WP-S11687,3393,2023-08-28
#107000,20005260035392,SK-S121877,2197,2023-08-14
#105963,20005260035404,SK-S123113,2197,2023-08-12
#106554,20005260035395,SK-S119396,2197,2023-08-13
#108330,20005260035371,SK-S121977,3999,2023-08-29
#108328,20005260035369,WP-S113895,14999,2023-08-29
#108335,20005260035374,"WP-S71893,WP-S75056",0,2023-08-29
#108369,20005260035388,WP-23474,3499,2023-08-29
#107179,20005260035396,SK-S121538,2947,2023-08-15
#106367,20005260035393,SK-JK75,2999,2023-08-13
#108380,20005260035408,SK-S115314,2249,2023-08-29
#108293,20005260035351,WP-S118545,6149,2023-08-28
#106232,20005260035397,SK-S114249,2197,2023-08-12
#108396,20005260035416,SK-KS3981,749,2023-08-29
#106484,20005260035391,SK-S122021,2197,2023-08-13
#108394,20005260035415,SK-S121158,3999,2023-08-29
#106933,20005260035389,SK-CT279,1499,2023-08-14
#108345,20005260035377,SK-FS162,150,2023-08-29
#108365,20005260035383,FS-S127579,1999,2023-08-29
#108339,20005260035375,SK-KS4015,999,2023-08-29
#108372,20005260035401,SK-KS2515,1349,2023-08-29
#106374,20005260035390,SK-TS716,1189,2023-08-13
#108323,20005260035366,SK-H1373,1399,2023-08-29
#106989,20005260035400,SK-S121588,2947,2023-08-14
#108099,20005260035273,"WP-S31063,WP-S72740",12127,2023-08-27
#108324,20005260035367,SK-H1288,1349,2023-08-29
#108393,20005260035414,FS-S124419,3249,2023-08-29
#108326,20005260035368,FS-HB535,3749,2023-08-29
#108309,20005260035358,FS-S124359,3249,2023-08-29
#108056,20005260035250,WP-S28066,3371,2023-08-26
