"Order Ref",Tracking,SKU,Total,Date
#109579,WR9952279,FS-S125763,3799,2023-09-09
#109531,WR9941047,FS-SL2954,2649,2023-09-08
#109563,WR9952093,SK-S115312,2249,2023-09-08
#109402,WR9912351,FS-S125661,3699,2023-09-07
#109549,WR9942186,SK-S121337,2249,2023-09-08
#109575,WR9952261,FS-S123832,6999,2023-09-09
#109467,WR9930466,FS-S125548,3299,2023-09-08
#109343,WR9905190,"FS-S125615,FS-S125711",6948,2023-09-07
#109588,WR9952356,FS-SL2951,2699,2023-09-09
#109574,WR9952258,MKP-S122299-42,2999,2023-09-09
