"Order Ref",Tracking,SKU,Total,Date
#101222,KI762135338,SK-S113115,1389,2023-05-17
#101275,KI762135906,SK-S116996,2589,2023-05-18
#101231,KI762135151,SK-S116477,1839,2023-05-17
#100814,KI762135594,SK-JK-S119010,0,2023-05-13
#101208,KI762126861,SK-S101962,2579,2023-05-17
#101257,KI762134673,SK-KS3255,949,2023-05-18
#101218,KI762135388,SK-S89136,5180,2023-05-17
#101207,KI762126852,SB-TS57-M,1249,2023-05-17
#101227,KI762135204,SK-S116169,1929,2023-05-17
#101178,KI762122608,WP-S104112,4399,2023-05-17
#101268,KI762134512,SK-KS3747,949,2023-05-18
#101168,KI762122546,WP-SL876,5999,2023-05-17
#101217,KI762135403,SK-KS4124,671,2023-05-17
#101271,KI762134466,SK-S99204,1531,2023-05-18
#101035,KI761794022,"SB-TS139-L,SB-TS176-L,SB-TS186-L",4097,2023-05-15
#101206,KI762126821,SK-S116988,2589,2023-05-17
#101243,KI762134995,SK-KS3608,749,2023-05-17
#101220,KI762135359,SK-S109232,1824,2023-05-17
#101255,KI762134709,SK-S116913,1531,2023-05-18
