"Order Ref",Tracking,SKU,Total,Date
#101937,79245425798770,"SK-SN15081,SK-S92068,SK-S82696,SK-S76595",0,2023-06-02
#101956,79245425798796,"SK-S29980,SK-SN14989",1473,2023-06-02
#101943,79245425798780,WP-S109169,11699,2023-06-02
#101873,79245425798686,SK-S114285,1879,2023-05-31
#101905,79245425798728,SK-S118368,4899,2023-06-01
#101926,79245425798758,"SK-S93612,SK-S111699",2844,2023-06-02
#101898,79245425798720,WP-S77335,13999,2023-06-01
#101931,79245425798764,SK-S88821,1149,2023-06-02
#101914,79245425798739,SK-S78336,1049,2023-06-01
#101959,79245425798801,SK-S99963,2329,2023-06-02
#101922,79245425798751,WP-S119839,6499,2023-06-02
#101912,79245425798737,SK-S59393,1099,2023-06-01
#101929,79245425798762,SK-KS2514,0,2023-06-02
