"Order Ref",Tracking,SKU,Total,Date
#108291,WR9706739,MKP-S122299-41,2999,2023-08-28
#108554,WR9748575,MKP-S122299-40,2999,2023-08-31
#108621,WR9755148,SK-S130181,8999,2023-08-31
#108445,WR9727869,FS-S124710,2849,2023-08-30
#108525,WR9747076,FS-S127600,2709,2023-08-30
#108600,WR9751813,SK-S117061,4399,2023-08-31
#108472,WR9729102,SK-S130590,2499,2023-08-30
#108609,WR9752252,SK-C69798,749,2023-08-31
#108320,WR9707353,"SF-SH2617,SF-SH3096",3798,2023-08-29
#108562,WR9748677,"FS-S124377,FS-S127702",5548,2023-08-31
#108167,WR9687127,MKP-S122299-40,2999,2023-08-27
