"Order Ref",Tracking,SKU,Total,Date
#114162,772708178809,FS-S126180,2849,2023-11-01
#114211,772708178816,WP-S134309,100,2023-11-02
#114176,772708178813,SK-H2301,2149,2023-11-01
#114088,772708178782,"SK-S130205,WP-S81727",21548,2023-10-31
#113975,772708178819,SK-S120624,1400,2023-10-30
#114213,772708178817,FS-S125244,3299,2023-11-02
#114228,772708178822,FS-S127408,2649,2023-11-02
#114087,772708178781,WP-S119815,5899,2023-10-31
#114191,772708178814,FS-S125953,4699,2023-11-02
#114163,772708178810,FS-S135743,2049,2023-11-01
#114156,772708178807,SB-S-S130511-40,4499,2023-11-01
#114149,772708178800,SB-S-S130505-44,3999,2023-11-01
#114074,772708178772,SB-S-S130511-43,4499,2023-10-31
#114160,772708178808,SK-KS3832,1049,2023-11-01
#114131,772708178794,WP-S64559,3873,2023-11-01
#114220,772708178818,"FS-S135080,FS-S134892",7048,2023-11-02
#114198,772708178815,FS-S124645,4499,2023-11-02
#114091,772708178783,WP-S134014,0,2023-10-31
#113896,772708178804,MKP-WL4,1950,2023-10-28
#114105,772708178788,MKP-WL43,2249,2023-10-31
