"Order Ref",Tracking,SKU,Total,Date
#105257,20005260033723,WP-S118657,6049,2023-08-04
#105278,20005260033734,SK-S119064,2599,2023-08-04
#105275,20005260033731,WP-S104214,3079,2023-08-04
#105283,20005260033738,SK-S122673,4999,2023-08-04
#105258,20005260033724,SK-TS1778,1582,2023-08-04
#105156,20005260033659,WP-S115861,7199,2023-08-02
#105243,20005260033716,SK-KS3718,1149,2023-08-03
#105238,20005260033713,WP-S119965,4999,2023-08-03
#105067,20005260033585,SG-WL4,1850,2023-07-31
#105256,20005260033722,SK-S122990,2499,2023-08-04
#105249,20005260033719,SK-S121835,5349,2023-08-03
#105285,20005260033739,WP-S120007,2649,2023-08-04
#105200,20005260033684,WP-RP97,3999,2023-08-02
#105288,20005260033741,"SK-TP1057,SK-TS2036,SK-TS2015,SK-TP1748,SK-TP1927",2477,2023-08-04
#105269,20005260033730,SK-S120815,3399,2023-08-04
#105268,20005260033729,SK-S120489,3499,2023-08-04
#105263,20005260033727,SK-S122778,2499,2023-08-04
#105262,20005260033726,SK-S107580,1849,2023-08-04
#105260,20005260033725,SK-S120843,3499,2023-08-04
#105274,20005260033733,SK-S122679,4399,2023-08-04
#105245,20005260033717,SK-S66346,4879,2023-08-03
#105242,20005260033715,SK-S117941,3549,2023-08-03
#105265,20005260033728,SK-S121570,2099,2023-08-04
