"Order Ref",Tracking,SKU,Total,Date
#109104,20005260035789,FS-S125343,3549,2023-09-05
#108770,20005260035605,FS-S125088,3499,2023-09-02
#109084,20005260035778,FS-SL2718,6999,2023-09-05
#108967,20005260035705,FS-S127805,2999,2023-09-04
#109089,20005260035782,SK-S130117,7099,2023-09-05
#108725,20005260035583,FS-S125131,3299,2023-09-01
#109083,20005260035777,SK-S130428,6499,2023-09-05
#109081,20005260035776,FS-S124110,6599,2023-09-05
#109087,20005260035780,SK-TP144,949,2023-09-05
#108680,20005260035562,MKP-C70028,1249,2023-09-01
#108763,20005260035600,FS-S127804,2999,2023-09-02
#109045,20005260035750,FS-S125319,3199,2023-09-04
#108983,20005260035712,FS-S125096,0,2023-09-04
#108698,20005260035569,MKP-C69988,1349,2023-09-01
#109060,20005260035760,FS-S125322,3999,2023-09-04
#109073,20005260035770,FS-S127780,2899,2023-09-04
#109078,20005260035773,FS-S125266,2849,2023-09-05
#108812,20005260035624,SK-S130835,7499,2023-09-02
#108904,20005260035671,FS-S125273,2899,2023-09-03
#108898,20005260035667,FS-S125263,3549,2023-09-03
#109044,20005260035749,FS-S125122,3599,2023-09-04
#108724,20005260035582,FS-S125145,2889,2023-09-01
#108934,20005260035689,FS-S125268,3649,2023-09-03
#109048,20005260035752,FS-S125250,3349,2023-09-04
#108705,20005260035574,SK-S130729,1960,2023-09-01
#108748,20005260035592,FS-S125124,3999,2023-09-02
#108862,20005260035648,FS-S125173,3699,2023-09-03
#108846,20005260035638,SK-S130851,5199,2023-09-02
#109038,20005260035746,SK-S130977,4999,2023-09-04
#108838,20005260035636,FS-S127767,2349,2023-09-02
#109079,20005260035774,FS-S125187,2849,2023-09-05
#109046,20005260035751,FS-S125325,3399,2023-09-04
#109035,20005260035744,SK-S130697,5649,2023-09-04
#108847,20005260035639,"FS-S125018,FS-S125146",6448,2023-09-02
#109041,20005260035747,SK-S121676,3999,2023-09-04
#108920,20005260035681,FS-S127745,2049,2023-09-03
#108969,20005260035706,FS-S125137,2899,2023-09-04
#108891,20005260035663,FS-S124981,2849,2023-09-03
#108899,20005260035668,FS-S127738,3499,2023-09-03
#108918,20005260035679,FS-S125278,3599,2023-09-03
#109021,20005260035737,SK-S130667,2599,2023-09-04
#108992,20005260035720,FS-S125001,3549,2023-09-04
#109037,20005260035745,SK-S130973,3799,2023-09-04
#108980,20005260035710,FS-S127674,3399,2023-09-04
#108890,20005260035662,"SK-KS2770,SK-KS3963",2048,2023-09-03
#108889,20005260035661,"SK-SC64495,SK-SC64844,SK-SC60841,SK-SC60803",1592,2023-09-03
#108835,20005260035634,FS-S125060,2899,2023-09-02
#108993,20005260035713,SK-S130906,0,2023-09-04
#108762,20005260035599,FS-S125144,4049,2023-09-02
#109031,20005260035740,FS-S127707,1999,2023-09-04
#108936,20005260035691,SK-S130708,7999,2023-09-03
#109099,20005260035787,FS-S124678,3399,2023-09-05
#109101,20005260035788,FS-S124511,3199,2023-09-05
#109114,20005260035798,FS-S123873,6659,2023-09-05
#109061,20005260035761,FS-S124822,3669,2023-09-04
#109070,20005260035767,FS-S127371,2049,2023-09-04
#109098,20005260035786,"SK-SN15945,SK-SN16101,SK-SN16027",6192,2023-09-05
#109071,20005260035769,SK-TI49,649,2023-09-04
#109058,20005260035758,"WP-S83401,WP-S115874",9498,2023-09-04
#109063,20005260035762,WP-S100953,4299,2023-09-04
#108240,20005260035732,WP-S94122,1125,2023-08-28
#109068,20005260035766,WP-S30819,3469,2023-09-04
#109059,20005260035759,SK-S130992,3999,2023-09-04
#109056,20005260035757,FS-S124577,3599,2023-09-04
#109111,20005260035795,SK-S122538,0,2023-09-05
#109095,20005260035785,SK-FS94895,2499,2023-09-05
#108852,20005260035642,SK-S130828,4649,2023-09-02
#109066,20005260035765,FS-S127440,2029,2023-09-04
#109064,20005260035763,FS-S124329,2849,2023-09-04
#108817,20005260035627,FS-S125040,3499,2023-09-02
#109014,20005260035728,"WP-S81664,WP-SL2255",0,2023-09-04
#108919,20005260035680,WP-S73247,9899,2023-09-03
#109065,20005260035764,FS-S123800,6599,2023-09-04
#109022,20005260035738,FS-S124699,0,2023-09-04
#109076,20005260035772,WP-S68035,11699,2023-09-04
#107880,20005260035455,MKP-TS62-M,0,2023-08-25
