"Order Ref",Tracking,SKU,Total,Date
#109309,WR9904312,FS-S125563,3649,2023-09-06
#109415,WR9915359,FS-S125681,2889,2023-09-07
#109428,WR9928508,SK-S113504,2879,2023-09-07
#109441,WR9928600,FS-S127417,1999,2023-09-07
#109434,WR9928547,FS-S123686,6549,2023-09-07
#109270,WR9888336,FS-S125443,2899,2023-09-06
#109519,WR9939531,FS-S124772,2849,2023-09-08
#109517,WR9939524,FS-S124104,6599,2023-09-08
#109502,WR9932045,SK-S131029,6499,2023-09-08
#109143,WR9867576,SK-S130978,4999,2023-09-05
#109067,WR9858825,WP-S94197,11049,2023-09-04
#109518,WR9939528,FS-S125346,3699,2023-09-08
