"Order Ref",Tracking,SKU,Total,Date
#99934,KI761680476,SK-S118116,5499,2023-05-04
#99915,KI761680784,SK-S118091,3549,2023-05-03
#99964,KI761682828,SK-S116906,4649,2023-05-04
#99806,KI761660662,SG-WL7,1450,2023-05-02
#99948,KI761680428,"SK-SN13146,SK-KS1510",2448,2023-05-04
#99916,KI761680755,SK-S108197,1026,2023-05-03
#99963,KI761682796,SK-S116523,5499,2023-05-04
#99900,KI761673598,SK-S117912,3349,2023-05-03
#99609,KI761630094,SK-S117866,4199,2023-04-29
#99917,KI761680750,SG-WL24,2100,2023-05-03
#99805,KI761660626,DT-SP20,918,2023-05-02
#99914,KI761680806,"SK-TP74,SK-TP462,SK-TP89",1279,2023-05-03
