"Order Ref",Tracking,SKU,Total,Date
#114319,772708178853,FS-S126257,2849,2023-11-03
#114323,772708178854,FS-S126105,4199,2023-11-03
#114237,772708178830,WP-S60524,3419,2023-11-02
#114316,772708178850,SK-S132293,4849,2023-11-03
#114302,772708178843,FS-S124578,3649,2023-11-03
#114306,772708178845,FS-S126338,2899,2023-11-03
#114352,772708178860,FS-S123449,6999,2023-11-04
#114382,772708178869,SK-S121475,0,2023-11-04
#114356,772708178861,SK-S121375,3999,2023-11-04
#114318,772708178852,FS-S126006,3499,2023-11-03
#114297,772708178879,FS-S135208,3399,2023-11-03
#114305,772708178844,FS-S126264,3799,2023-11-03
#114381,772708178868,SK-S132088,0,2023-11-04
#114279,772708178839,WP-S108698,4399,2023-11-03
#114346,772708178859,FS-S135018,3599,2023-11-04
#114314,772708178848,FS-S126275,2849,2023-11-03
#114292,772708178841,WP-S120237,5599,2023-11-03
#114378,772708178866,SK-S122440,4999,2023-11-04
#114393,772708178874,SK-S132857,8499,2023-11-04
#114389,772708178872,"FS-S123790,FS-S126260",0,2023-11-04
#114391,772708178873,WP-S108717,4199,2023-11-04
#114332,772708178855,WP-S108785,4499,2023-11-03
#114350,772708178881,SK-KS3973,899,2023-11-04
#114309,772708178847,WP-S133518,5699,2023-11-03
#114385,772708178871,SK-S122968,0,2023-11-04
#114379,772708178867,MKP-SL2558,2249,2023-11-04
#114324,772708178880,WP-23441,4999,2023-11-03
#114317,772708178851,"SB-S-S130520-43,FS-S126263,FS-S125130",0,2023-11-03
