"Order Ref",Tracking,SKU,Total,Date
#113725,20005260038046,SK-JK45,7245,2023-10-26
#113647,20005260038016,MKP-SL2559,7245,2023-10-25
#113778,20005260038066,FS-S126181,7245,2023-10-27
#113480,20005260038069,SK-S132025,7245,2023-10-24
#113608,20005260038003,MKP-TS45-S,7245,2023-10-25
#113786,20005260038074,SK-S121244,7245,2023-10-27
#113734,20005260038050,FS-S126173,7245,2023-10-26
#113770,20005260038061,FS-S127781,7245,2023-10-27
#113606,20005260038001,MKP-SL2527,7245,2023-10-25
#113776,20005260038060,"FS-S125975,FS-S125700,FS-S125295",7245,2023-10-27
#113750,20005260038055,SK-S122467,7245,2023-10-27
#113777,20005260038065,FS-S126202,7245,2023-10-27
#113727,20005260038047,"FS-HB433,FS-SN16707,FS-SN16830,FS-SN16987,SK-BG69131",7245,2023-10-26
#113742,20005260038053,FS-S126124,7245,2023-10-27
#113730,20005260038049,FS-S126138,7245,2023-10-26
#113654,20005260038019,FS-S126162,7245,2023-10-25
#113749,20005260038054,SK-S131986,7245,2023-10-27
#113425,20005260038068,"SK-S132165,FS-S127561",7245,2023-10-23
#113483,20005260038070,SK-S122153,7245,2023-10-24
#113751,20005260038056,FS-CK78,7245,2023-10-27
#113556,20005260038071,SK-KS3928,7245,2023-10-25
#113717,20005260038045,FS-S126206,7245,2023-10-26
#113774,20005260038064,FS-S125492,7245,2023-10-27
#113685,20005260038028,SK-S121578,7245,2023-10-26
