"Order Ref",Tracking,SKU,Total,Date
#103615,WR8490777,SB-TS53-L,1224,2023-07-05
#103764,WR8550287,WP-S9359,3399,2023-07-07
#103872,WR8582627,SK-BG69683,2499,2023-07-10
#103837,WR8576349,SK-S110754,1471,2023-07-09
#103792,WR8556357,SK-S110012,3199,2023-07-08
#103856,WR8573676,"SK-S107517,SK-S102168",2707,2023-07-10
#103839,WR8576285,SK-S116676,2749,2023-07-09
#103854,WR8573792,"SK-SN11426,SK-BG69809",1365,2023-07-10
#103866,WR8582420,SK-S112722,1959,2023-07-10
#103802,WR8580194,SK-S97056,3799,2023-07-08
#103797,WR8581003,SK-S115298,2899,2023-07-08
#103869,WR8582518,SK-S114698,2149,2023-07-10
