"Order Ref",Tracking,SKU,Total,Date
#102036,20005260032091,SK-S118191,3899,2023-06-05
#102006,20005260032076,"SK-S88958,SK-KS3753",1142,2023-06-03
#102018,20005260032082,"SK-S96177,SK-S107653",1827,2023-06-04
#101990,20005260032070,SK-S116203,0,2023-06-03
#102041,20005260032094,"SK-KS2551,SK-KS3979,SK-KS2557,SK-KS3909",4476,2023-06-05
#102038,20005260032092,SK-S111136,2879,2023-06-05
#102046,20005260032096,SK-BG68125,550,2023-06-05
#102050,20005260032099,SK-S111782,1569,2023-06-05
#102025,20005260032084,SK-S118169,4399,2023-06-04
#102010,20005260032078,SK-S119389,5299,2023-06-03
#101995,20005260032067,SK-S109973,0,2023-06-03
#102014,20005260032080,SK-S95142,1077,2023-06-04
#102002,20005260032074,SK-S118301,4649,2023-06-03
#101797,20005260032073,SK-S115244,399,2023-05-29
#102008,20005260032077,SK-S119077,4259,2023-06-03
#102043,20005260032095,SK-S111505,1879,2023-06-05
#102029,20005260032086,SK-KS2517,1249,2023-06-04
#102016,20005260032081,SK-S88494,1099,2023-06-04
#102028,20005260032085,SK-S118325,4199,2023-06-04
#102049,20005260032098,SK-S97661,1569,2023-06-05
#101852,20005260032100,"SK-S117107,SK-S106429",197,2023-05-31
#102032,20005260032089,WP-S115508,5499,2023-06-04
#102022,20005260032083,WP-S118717,6199,2023-06-04
