"Order Ref",Tracking,SKU,Total,Date
#100906,WR6859036,SK-S111219,1509,2023-05-14
#101006,WR6862768,SK-S117782,2717,2023-05-15
#100952,WR6865747,SK-S118025,2717,2023-05-14
#100949,WR6865824,SK-S87483,2717,2023-05-14
#100977,WR6863807,SK-S116472,1929,2023-05-15
#100555,WR6808197,WP-S117356,14716,2023-05-11
#100867,WR6867210,SK-S112307,1079,2023-05-13
#101032,WR6868464,SK-JK-S119006,4599,2023-05-15
#100962,WR6863985,"SK-S114960,SK-S114735",4768,2023-05-14
#101025,WR6862588,SK-S118212,3349,2023-05-15
#100675,WR6825146,WP-S17789,600,2023-05-12
#100834,WR6833261,SK-JK-S119001,8999,2023-05-13
