"Order Ref",Tracking,SKU,Total,Date
#113672,772708178645,SK-S131014,4999,2023-10-26
#113618,772708178630,FS-S134884,0,2023-10-25
#113652,772708178640,SK-S130749,3589,2023-10-25
#113666,772708178643,WP-S109186,4999,2023-10-26
#113676,772708178646,FS-S123850,7049,2023-10-26
#113648,772708178638,"FS-S134839,FS-S126118",5738,2023-10-25
#113586,772708178617,WP-S134146,8289,2023-10-25
#113643,772708178636,SK-S122064,3989,2023-10-25
#113653,772708178641,FS-S124388,3549,2023-10-25
#113612,772708178627,SK-S130687,4289,2023-10-25
#113668,772708178644,FS-S126129,3599,2023-10-26
#113577,772708178616,WP-S78794,3399,2023-10-25
#113542,772708178605,"SK-S130231,SB-S-S130520",8488,2023-10-24
#113611,772708178626,WP-23600,5393,2023-10-25
#113615,772708178628,FS-S126137,2849,2023-10-25
#113657,772708178642,SK-S130615,2699,2023-10-26
#113574,772708178615,WP-S133978,7989,2023-10-25
#113392,772708178652,FS-S125976,0,2023-10-23
#113245,772708178559,SK-S133112,2699,2023-10-21
#113243,772708178650,SK-S121440,10,2023-10-21
#113644,772708178637,FS-S127669,2499,2023-10-25
#112935,772708178625,WP-S134093,0,2023-10-18
#113627,772708178632,SK-S120457,3499,2023-10-25
#113549,772708178607,WP-S134199,7189,2023-10-24
#113541,772708178604,WP-S104879,3489,2023-10-24
#113521,772708178597,WP-S118416,4889,2023-10-24
#113651,772708178639,SK-S118045,2899,2023-10-25
