"Order Ref",Tracking,SKU,Total,Date
#102093,20005260032117,SK-S117148,1000,2023-06-06
#102078,20005260032110,SK-S118385,2599,2023-06-05
#102004,20005260032075,"SF-SH2232,SF-SH2251",3498,2023-06-03
#102095,20005260032115,"SK-KS2553,SK-KS2760,SK-KS3494,SK-S102436",10796,2023-06-06
#102064,20005260032105,SK-S117978,3749,2023-06-05
#102102,20005260032116,WP-S116093,800,2023-06-06
#102109,20005260032119,WP-S28162,4019,2023-06-06
#102070,20005260032107,"SK-S118265,SK-KS2612",5448,2023-06-05
#102072,20005260032108,"SK-S114200,WP-S118704",6588,2023-06-05
#102075,20005260032109,SK-S105584,2699,2023-06-05
