"Order Ref",Tracking,SKU,Total,Date
#112596,792454257112891,WP-S134319,3410,2023-10-14
#112551,792454257112837,WP-S134309,7989,2023-10-13
#112549,792454257112829,"SK-TS4514,SK-TS4193,SK-TS1985,SK-TS5023,SK-TS6246,SK-TP668",1988,2023-10-13
#112537,792454257112810,FS-S134921,3849,2023-10-13
#112560,792454257112848,FS-S124897,3399,2023-10-14
#112504,792454257112773,SK-S133172,890,2023-10-13
#112533,792454257112806,SK-KS3445,949,2023-10-13
#112573,792454257112864,SK-H1324,1144,2023-10-14
#112587,792454257112882,SK-KS2758,1649,2023-10-14
