"Order Ref",Tracking,SKU,Total,Date
#109508,792454257108719,SK-S130722,0,2023-09-08
#109503,792454257108714,FS-S125729,0,2023-09-08
#109482,792454257108692,WP-S119703,12239,2023-09-08
#108974,792454257108112,FS-S125246,2899,2023-09-04
#109527,792454257108739,FS-S124063,0,2023-09-08
#109529,792454257108741,FS-S124936,0,2023-09-08
#109607,792454257108824,SK-S121407,2649,2023-09-09
#109416,792454257108617,FS-S125821,2899,2023-09-07
#109538,792454257108751,FS-S127871,1474,2023-09-08
#109590,792454257108807,FS-S125826,2899,2023-09-09
#109423,792454257108624,FS-S125859,3649,2023-09-07
#109315,792454257108499,"FS-S123768,FS-S125666",10598,2023-09-06
#109604,792454257108821,SK-S122810,3999,2023-09-09
#109627,792454257108848,FS-S125028,5000,2023-09-09
#109550,792454257108764,FS-S125765,2799,2023-09-08
