"Order Ref",Tracking,SKU,Total,Date
#99802,KI761660556,SK-S116297,1450,2023-05-02
#99784,KI761660415,SK-FS229,1149,2023-05-02
#99898,KI761673295,SK-S117863,3899,2023-05-03
#99681,KI761649387,WP-S81584,13999,2023-04-30
#99801,KI761660511,SK-S116339,2599,2023-05-02
#99838,KI761666814,"SK-TP1783,SK-TP1280,SK-TP1152,SK-TP988,SK-TS5927,SK-TP1509,SK-TP1491,SK-TP1510,SK-TP1197",2691,2023-05-02
#99874,KI761666072,SK-S111419,2274,2023-05-03
#99766,KI761659249,SK-S117986,3000,2023-05-01
#99887,KI761671615,WP-S98218,4999,2023-05-03
#99762,KI761668016,SK-S112167,1599,2023-05-01
#99846,KI761666753,SK-S108428,2689,2023-05-02
#99734,KI761651465,SK-S118012,4799,2023-05-01
#99895,KI761671855,SK-S107781,1548,2023-05-03
#99840,KI761666798,SK-S118095,3849,2023-05-02
#99655,KI761648331,SG-WL35,1399,2023-04-29
#99864,KI761666420,SK-S109113,3199,2023-05-03
#99881,KI761665924,SK-S118030,123,2023-05-03
#99881,KI761665924,SK-S118030,123,2023-05-03
#99814,KI761660938,SK-S111304,2374,2023-05-02
#99830,KI761664930,SK-KS3874,959,2023-05-02
#99847,KI761674098,"SK-S109083,SK-KS3561,SK-KS3233,SK-KS3307",2835,2023-05-02
#99551,KI761669326,SK-S111726,282,2023-04-28
#99720,KI761650609,SK-KS3936,699,2023-05-01
#99800,KI761667925,WP-S116024,1900,2023-05-02
#99800,KI761667925,WP-S116024,1900,2023-05-02
#99889,KI761671635,WP-S72966,11999,2023-05-03
#99789,KI761660112,SK-S89346,3150,2023-05-02
#99810,KI761660766,SK-S106479,2169,2023-05-02
#99880,KI761665968,SK-S112216,671,2023-05-03
#99804,KI761660601,SK-SL343,1649,2023-05-02
#99656,KI761648367,WP-SH1309,1929,2023-04-29
#99856,KI761666589,SK-S117898,3699,2023-05-03
#99635,KI761634208,SG-WL7,1450,2023-04-29
#99861,KI761666485,SK-S117928,3899,2023-05-03
#99714,KI761668071,"SK-S117878,SK-S117888",13198,2023-04-30
#99569,KI761624163,SD-WL8,1250,2023-04-28
