"Order Ref",Tracking,SKU,Total,Date
#97751A,KI761620082,WP-S108713,2529,2023-04-07
#99552,KI761618225,SK-KS3358,999,2023-04-28
#99561,KI761623789,SK-CT94,1499,2023-04-28
#99545,KI761617449,SK-S97419,3799,2023-04-28
#99454,KI761623676,SK-BG69294,500,2023-04-26
#99546,KI761617457,SK-FS190,998,2023-04-28
#99540,KI761617431,SK-S116484,1449,2023-04-28
#99549,KI761617693,SK-S115609,1079.76,2023-04-28
#98725,KI760854438,SB-TS65-S,999,2023-04-13
#99232,KI760970494,WP-S10951,3999,2023-04-21
#99223,KI760967721,WP-S109212,4999,2023-04-21
#99531,KI761617398,SK-S116396,4589,2023-04-27
#99555,KI761618780,"SK-S106888,SK-S116900,SK-S106356,SK-S116687,SK-S116751,SK-BG70098,SK-S116451",19896,2023-04-28
