"Order Ref",Tracking,SKU,Total,Date
#113172,772708178482,WP-S134282,8089,2023-10-20
#113116,772708178460,WP-S94109,9614,2023-10-20
#113168,772708178480,FS-SL2846,2659,2023-10-20
#113206,772708178495,WP-S8900,5273,2023-10-21
#112687,772708178325,FS-S124348,2899,2023-10-15
#113229,772708178503,"SK-S132952,SK-S131969,FS-S123943",15187,2023-10-21
#113185,772708178488,FS-S124256,2999,2023-10-21
#113202,772708178492,FS-S134972,2999,2023-10-21
#113159,772708178477,WP-S108861,3689,2023-10-20
#113164,772708178478,SK-S131306,2649,2023-10-20
#113167,772708178479,FS-S123978,4489,2023-10-20
#113195,772708178490,FS-S125314,3299,2023-10-21
#113209,772708178496,FS-S125906,2849,2023-10-21
#113153,772708178473,"SK-S132329,WP-S120217",10188,2023-10-20
#113181,772708178486,SK-S130951,3689,2023-10-21
#113228,772708178502,SK-S118195,3299,2023-10-21
#113187,772708178489,SK-S132325,2649,2023-10-21
#113197,772708178494,FS-KLS135,2499,2023-10-21
#113238,772708178513,SK-S131802,3989,2023-10-21
#113157,772708178476,FS-KLS142,2549,2023-10-20
#113220,772708178499,SK-S121155,3999,2023-10-21
#113174,772708178483,SK-S132396,2699,2023-10-20
#113155,772708178475,FS-KLS125,1849,2023-10-20
#113227,772708178501,FS-S134960,3599,2023-10-21
#113203,772708178493,WP-S109394,3289,2023-10-21
#113179,772708178484,SK-S131871,2499,2023-10-21
#113034,772708178468,WP-S134167,178,2023-10-19
#113201,772708178491,FS-S124997,3299,2023-10-21
#113217,772708178498,FS-S127665,2049,2023-10-21
