"Order Ref",Tracking,SKU,Total,Date
#102057,79245425799011,WP-S118803,7999,2023-06-05
#102059,79245425799013,SK-S119082,3734,2023-06-05
#102048,79245425798998,SK-S117120,0,2023-06-05
#102021,79245425798962,WP-S118768,0,2023-06-04
#102023,79245425798964,SK-S117133,4199,2023-06-04
#102011,79245425798951,SK-S102997,0,2023-06-03
#102030,79245425798972,"WP-S8743,SK-S110559",4674,2023-06-04
#102026,79245425798967,"SK-KS2579,SK-S89200",2198,2023-06-04
#102055,79245425799005,SK-S109777,1471,2023-06-05
#102019,79245425798960,SK-S112423,1161,2023-06-04
