"Order Ref",Tracking,SKU,Total,Date
#101283,KI762139445,WP-S118764,6598,2023-05-18
#100328,KI761774173,SK-S118127,6598,2023-05-08
#101338,KI762146311,WP-S118759,6598,2023-05-19
#101357,KI762149129,SK-S119150,6598,2023-05-19
#101189,KI762157380,SK-S117890,6598,2023-05-17
#101430,KI762158013,SK-S118298,6598,2023-05-20
#101226,KI762135214,SG-WL6,6598,2023-05-17
#101307,KI762145578,"SG-WL7,SG-WL18",6598,2023-05-18
#101375,KI762151256,SK-S119329,6598,2023-05-19
#101418,KI762156240,SK-S107766,6598,2023-05-20
#101356,KI762149119,SK-P-MA-S119277,6598,2023-05-19
#101372,KI762151225,SK-S118098,6598,2023-05-19
#101374,KI762151244,SK-S116955,6598,2023-05-19
