"Order Ref",Tracking,SKU,Total,Date
#105299,20005260033747,SK-S88231,2499,2023-08-04
#105083,20005260033757,SK-S11283,0,2023-07-31
#105305,20005260033749,"SK-TP1867,SK-TS3787,SK-TS6130,SK-TS6030,SK-TP1115",1617,2023-08-05
#105255,20005260033721,SK-S120984,4699,2023-08-04
#105065,20005260033756,WP-S120028,2500,2023-07-31
#105304,20005260033748,"SK-TS4811,SK-TS4520,SK-TS5738,SK-TP1223,SK-TP1978,SK-TP1501,SK-TP1618,SK-TP1827,SK-TP1241",2855,2023-08-05
#104806,20005260033755,SK-S120437,0,2023-07-26
#105280,20005260033736,SK-S123251,4000,2023-08-04
#105296,20005260033745,SK-S121193,4399,2023-08-04
#105310,20005260033751,SK-S114552,8099,2023-08-05
#105295,20005260033744,SK-S117088,4199,2023-08-04
#105287,20005260033740,SK-CT182,1499,2023-08-04
#105298,20005260033746,SK-S123097,2499,2023-08-04
#105320,20005260033758,SK-S116289,5149,2023-08-05
