"Order Ref",Tracking,SKU,Total,Date
#110645,WR10507465,FS-S124768,2745,2023-09-22
#110650,WR10507506,"FS-S127884,FS-S127284",2604,2023-09-22
#110700,WR10509978,"FS-S123673,SK-S131811",11399,2023-09-23
#110674,WR10507924,SK-S132492,4699,2023-09-23
#110622,WR10497976,FS-S124102,6200,2023-09-22
#110708,WR10512196,FS-S123891,6200,2023-09-23
#110664,WR10507748,FS-S127872,1552,2023-09-23
#110600,WR10492822,WP-S118473,5899,2023-09-22
#110612,WR10497914,SK-S131699,2549,2023-09-22
#110611,WR10497909,SK-S122656,3999,2023-09-22
#110630,WR10499208,FS-S127319,1552,2023-09-22
