"Order Ref",Tracking,SKU,Total,Date
#107372,792454257106169,"WP-S104889,SK-S102820",3201,2023-08-18
#107792,792454257106686,WP-S119994,4999,2023-08-24
#107841,792454257106759,FS-S123796,4949,2023-08-24
#107924,792454257106857,"SK-KS2285,SK-KS84",1261,2023-08-25
#107673,792454257106524,"SK-S130134,WP-S118833",19348,2023-08-22
#107887,792454257106810,FS-S127239,2049,2023-08-25
#107844,792454257106762,FS-S123662,6629,2023-08-24
#107762,792454257106631,WP-S115500,4999,2023-08-23
#107733,792454257106598,WP-S119958,7999,2023-08-23
#107885,792454257106808,FS-S124046,3600,2023-08-25
#107759,792454257106628,WP-S118642,6299,2023-08-23
#107890,792454257106813,FS-S127270,1749,2023-08-25
#107852,792454257106771,SK-S119238,3999,2023-08-25
#107859,792454257106778,FS-S127219,2039,2023-08-25
#107848,792454257106767,SK-SN15488,1399,2023-08-24
#107921,792454257106849,SK-S110325,1471,2023-08-25
